time_step,channel,rssi,snr,interference,load,throughput
0,1,-69.4,38.28,0.732,0.599,54.22
0,2,-86.81,35.32,0.601,0.708,40.79
0,3,-88.87,38.95,0.832,0.212,51.79
0,4,-73.27,23.37,0.432,0.291,38.46
0,5,-56.35,9.88,0.292,0.366,28.06
1,1,-79.02,23.0,0.592,0.046,36.88
1,2,-56.59,10.97,0.065,0.949,16.17
1,3,-52.37,20.41,0.122,0.495,47.71
1,4,-88.11,36.83,0.259,0.663,55.9
1,5,-59.93,11.47,0.97,0.775,1.0
2,1,-38.33,36.32,0.598,0.922,62.14
2,2,-68.62,14.5,0.829,0.357,10.0
2,3,-74.55,23.99,0.141,0.802,34.4
2,4,-89.7,33.54,0.707,0.729,34.64
2,5,-47.58,7.59,0.358,0.116,28.74
3,1,-71.8,7.22,0.311,0.325,14.02
3,2,-49.87,27.31,0.887,0.472,42.36
3,3,-48.16,24.64,0.771,0.494,37.8
3,4,-61.25,19.96,0.025,0.108,56.1
3,5,-72.71,22.8,0.908,0.249,24.89
4,1,-67.43,31.44,0.229,0.077,67.96
4,2,-38.87,33.28,0.633,0.871,54.84
4,3,-45.8,11.53,0.893,0.539,7.79
4,4,-77.46,19.95,0.818,0.861,4.12
4,5,-89.62,22.88,0.417,0.222,31.84
5,1,-38.14,16.31,0.519,0.703,28.01
5,2,-70.0,39.01,0.962,0.252,52.1
5,3,-74.33,6.29,0.61,0.503,1.0
5,4,-87.17,14.75,0.908,0.24,2.58
5,5,-35.79,13.47,0.672,0.762,16.34
6,1,-76.93,30.49,0.368,0.632,47.43
6,2,-85.03,34.24,0.321,0.187,68.24
6,3,-87.76,25.68,0.678,0.017,32.09
6,4,-54.52,11.1,0.691,0.387,14.76
6,5,-38.48,9.81,0.341,0.113,39.76
7,1,-45.05,24.43,0.53,0.242,50.71
7,2,-84.88,36.4,0.9,0.633,33.81
7,3,-50.07,36.4,0.887,0.78,47.69
7,4,-54.69,7.94,0.162,0.899,12.11
7,5,-89.72,10.63,0.549,0.692,1.0
8,1,-54.14,12.85,0.712,0.237,24.81
8,2,-54.27,34.72,0.658,0.568,55.91
8,3,-84.85,17.87,0.265,0.244,29.03
8,4,-40.94,27.09,0.795,0.503,48.32
8,5,-58.27,22.24,0.195,0.722,38.21
9,1,-38.27,38.39,0.915,0.37,72.39
9,2,-89.15,37.49,0.428,0.967,40.86
9,3,-43.19,16.09,0.169,0.557,37.04
9,4,-38.51,29.36,0.57,0.097,70.11
9,5,-41.74,30.93,0.697,0.702,49.08
10,1,-70.23,15.28,0.809,0.81,2.45
10,2,-46.09,27.75,0.702,0.796,53.05
10,3,-41.05,16.83,0.376,0.094,48.06
10,4,-64.39,23.99,0.287,0.591,42.67
10,5,-88.32,6.31,0.823,0.36,1.0
11,1,-47.65,12.55,0.623,0.085,27.23
11,2,-87.16,23.6,0.541,0.637,15.39
11,3,-46.26,14.48,0.439,0.078,41.25
11,4,-88.61,38.69,0.836,0.696,37.0
11,5,-81.4,13.76,0.549,0.715,1.47
12,1,-53.69,14.8,0.955,0.738,12.02
12,2,-66.92,13.67,0.356,0.758,17.35
12,3,-89.21,9.06,0.046,0.041,22.45
12,4,-63.92,8.42,0.492,0.473,10.63
12,5,-80.47,20.18,0.399,0.616,21.46
13,1,-69.4,26.91,0.503,0.856,33.0
13,2,-53.77,10.7,0.071,0.642,26.55
13,3,-38.29,25.14,0.388,0.643,52.26
13,4,-64.8,24.1,0.941,0.386,28.74
13,5,-86.08,16.16,0.845,0.023,11.49
14,1,-45.2,14.86,0.118,0.697,38.86
14,2,-49.57,33.12,0.282,0.177,79.48
14,3,-48.72,33.24,0.991,0.413,55.92
14,4,-71.26,37.58,0.858,0.429,51.27
14,5,-48.7,31.41,0.103,0.903,66.73
15,1,-72.4,36.34,0.389,0.011,74.6
15,2,-40.2,8.2,0.319,0.95,13.25
15,3,-55.25,20.7,0.293,0.329,48.54
15,4,-53.01,31.33,0.792,0.79,42.64
15,5,-86.83,24.23,0.442,0.888,16.92
16,1,-70.7,9.1,0.143,0.762,7.05
16,2,-85.37,29.53,0.073,0.822,44.38
16,3,-51.16,7.85,0.085,0.987,8.56
16,4,-45.3,38.15,0.986,0.753,51.02
16,5,-69.31,7.92,0.777,0.558,1.0
17,1,-83.88,22.24,0.011,0.469,40.0
17,2,-86.9,9.16,0.118,0.649,6.67
17,3,-37.08,18.12,0.286,0.869,42.01
17,4,-77.7,38.71,0.012,0.97,64.64
17,5,-85.94,24.38,0.969,0.523,13.68
18,1,-55.38,29.35,0.455,0.628,54.3
18,2,-87.5,14.83,0.95,0.89,1.0
18,3,-64.94,26.7,0.277,0.188,51.54
18,4,-57.9,7.72,0.974,0.986,1.0
18,5,-51.6,23.76,0.31,0.814,39.4
19,1,-39.9,33.79,0.95,0.726,52.47
19,2,-56.26,19.64,0.933,0.866,15.05
19,3,-35.7,10.26,0.594,0.381,23.93
19,4,-36.65,34.47,0.838,0.469,58.97
19,5,-86.9,35.27,0.813,1.0,25.9
20,1,-35.18,24.44,0.769,0.945,33.25
20,2,-65.22,9.52,0.954,0.606,1.0
20,3,-77.42,28.51,0.618,0.358,41.81
20,4,-61.38,32.03,0.52,0.852,44.22
20,5,-59.65,24.63,0.877,0.403,34.99
21,1,-51.28,12.45,0.136,0.015,48.92
21,2,-70.72,25.65,0.392,0.437,42.42
21,3,-61.73,32.43,0.397,0.622,58.69
21,4,-42.57,38.23,0.147,0.927,72.49
21,5,-64.75,39.3,0.493,0.329,73.06
22,1,-55.16,13.41,0.076,0.129,44.83
22,2,-80.0,17.1,0.897,0.474,2.63
22,3,-53.28,11.03,0.192,0.041,37.04
22,4,-80.26,8.1,0.121,0.461,8.56
22,5,-78.65,17.75,0.503,0.69,11.71
23,1,-41.95,37.23,0.061,0.277,95.37
23,2,-45.66,31.19,0.185,0.209,77.95
23,3,-56.0,17.91,0.463,0.747,18.36
23,4,-87.98,13.84,0.713,0.895,1.0
23,5,-84.11,20.66,0.533,0.242,30.58
24,1,-75.19,18.2,0.02,0.322,38.22
24,2,-83.41,36.17,0.594,0.679,42.6
24,3,-46.6,22.45,0.087,0.537,60.13
24,4,-66.26,9.47,0.284,0.363,19.83
24,5,-54.47,24.98,0.356,0.987,33.18
25,1,-84.4,10.35,0.246,0.161,18.79
25,2,-79.74,14.98,0.173,0.897,12.61
25,3,-67.43,39.38,0.112,0.398,79.25
25,4,-36.68,35.29,0.817,0.258,72.79
25,5,-38.88,24.49,0.572,0.28,52.45
26,1,-47.68,11.55,0.324,0.425,24.03
26,2,-83.68,26.37,0.289,0.581,37.86
26,3,-81.51,21.84,0.533,0.052,33.07
26,4,-86.51,39.65,0.322,0.81,54.97
26,5,-75.99,28.85,0.76,0.596,24.6
27,1,-70.81,37.53,0.831,0.965,38.23
27,2,-83.16,30.58,0.938,0.181,37.16
27,3,-58.4,34.46,0.14,0.795,65.18
27,4,-78.91,10.73,0.164,0.815,7.58
27,5,-70.26,35.7,0.392,0.817,60.31
28,1,-65.85,18.19,0.463,0.301,32.1
28,2,-77.23,36.49,0.384,0.544,64.28
28,3,-40.14,26.85,0.117,0.94,52.19
28,4,-82.34,32.79,0.62,0.533,45.9
28,5,-40.84,32.6,0.152,0.312,84.93
29,1,-88.16,24.95,0.762,0.877,8.45
29,2,-71.19,33.74,0.111,0.846,56.61
29,3,-46.15,10.25,0.229,0.722,19.55
29,4,-50.4,27.44,0.694,0.543,42.97
29,5,-80.01,36.8,0.583,0.401,52.33
30,1,-64.59,38.15,0.153,0.586,82.1
30,2,-89.0,35.52,0.932,0.565,34.84
30,3,-51.68,37.29,0.707,0.153,79.35
30,4,-66.67,30.78,0.934,0.926,31.08
30,5,-65.2,8.96,0.985,0.839,1.0
31,1,-57.48,18.97,0.055,0.335,52.45
31,2,-45.84,5.16,0.333,0.398,19.91
31,3,-70.95,17.14,0.738,0.452,15.6
31,4,-77.65,20.84,0.141,0.176,36.12
31,5,-39.68,17.68,0.581,0.632,32.14
32,1,-89.28,28.22,0.178,0.961,31.63
32,2,-85.31,39.89,0.502,0.595,53.86
32,3,-86.31,31.25,0.21,0.898,38.87
32,4,-87.99,21.52,0.565,0.066,28.82
32,5,-47.35,20.87,0.524,0.441,45.04
33,1,-81.46,11.37,0.862,0.946,1.0
33,2,-69.47,14.48,0.644,0.409,17.49
33,3,-88.51,12.77,0.231,0.672,11.37
33,4,-88.92,8.64,0.8,0.179,1.0
33,5,-84.53,13.51,0.722,0.856,1.0
34,1,-44.34,18.9,0.668,0.205,42.25
34,2,-89.28,7.99,0.208,0.027,13.51
34,3,-80.02,25.41,0.421,0.893,24.27
34,4,-75.73,18.29,0.59,0.268,27.45
34,5,-55.67,19.33,0.552,0.436,33.99
35,1,-48.0,9.9,0.868,0.487,7.28
35,2,-40.8,32.99,0.425,0.022,83.2
35,3,-55.16,14.03,0.139,0.835,20.29
35,4,-35.86,23.4,0.172,0.272,67.5
35,5,-74.93,24.4,0.651,0.83,18.11
36,1,-78.65,5.38,0.137,0.9,1.0
36,2,-56.97,28.28,0.175,0.914,52.89
36,3,-66.97,18.41,0.519,0.047,38.15
36,4,-85.45,26.11,0.245,0.389,40.23
36,5,-74.12,17.45,0.719,0.297,15.99
37,1,-53.5,37.79,0.733,0.215,79.38
37,2,-88.28,14.18,0.595,0.051,22.76
37,3,-71.62,31.98,0.107,0.075,72.79
37,4,-49.95,22.34,0.688,0.435,40.31
37,5,-46.03,29.31,0.272,0.59,61.01
38,1,-70.15,8.21,0.917,0.137,1.0
38,2,-79.82,23.97,0.873,0.732,15.39
38,3,-45.64,28.06,0.692,0.849,41.09
38,4,-77.83,39.57,0.944,0.039,55.93
38,5,-51.19,37.38,0.181,0.568,76.31
39,1,-39.16,38.99,0.944,0.474,71.37
39,2,-42.59,34.56,0.319,0.829,67.82
39,3,-77.35,9.22,0.077,0.696,8.66
39,4,-71.31,30.37,0.065,0.315,69.58
39,5,-72.47,26.91,0.886,0.616,26.19
40,1,-77.19,5.85,0.87,0.021,1.0
40,2,-38.35,32.96,0.998,0.351,61.23
40,3,-47.8,19.07,0.48,0.628,32.81
40,4,-66.83,30.82,0.239,0.11,72.65
40,5,-70.5,15.05,0.296,0.234,30.03
41,1,-68.86,28.79,0.218,0.95,43.55
41,2,-46.75,8.13,0.418,0.879,8.23
41,3,-56.26,10.85,0.991,0.232,10.06
41,4,-38.15,27.74,0.608,0.513,53.44
41,5,-77.87,11.53,0.78,0.35,1.0
42,1,-86.82,38.92,0.884,0.928,38.98
42,2,-51.72,10.39,0.816,0.224,13.12
42,3,-77.69,23.79,0.593,0.58,24.61
42,4,-41.12,38.45,0.862,0.81,59.07
42,5,-53.96,24.28,0.087,0.408,54.62
43,1,-50.21,22.36,0.081,0.22,59.48
43,2,-52.42,7.66,0.851,0.495,8.78
43,3,-44.64,17.17,0.678,0.566,25.95
43,4,-75.31,35.75,0.797,0.658,45.92
43,5,-51.64,28.8,0.619,0.753,45.94
44,1,-81.28,35.83,0.872,0.029,53.63
44,2,-71.57,31.02,0.161,0.818,51.43
44,3,-44.23,22.76,0.006,0.287,66.61
44,4,-55.25,14.09,0.634,0.54,18.18
44,5,-47.11,8.74,0.761,0.541,7.29
45,1,-55.21,37.62,0.103,0.937,71.97
45,2,-52.17,7.37,0.301,0.708,12.33
45,3,-70.98,26.73,0.046,0.872,42.71
45,4,-36.46,38.91,0.75,0.13,88.55
45,5,-52.42,20.61,0.274,0.997,31.67
46,1,-66.56,20.8,0.164,0.795,30.47
46,2,-85.47,28.82,0.655,0.273,40.56
46,3,-37.7,10.29,0.432,0.944,20.7
46,4,-68.13,14.6,0.984,0.409,2.17
46,5,-40.82,13.05,0.213,0.031,44.76
47,1,-42.46,21.56,0.968,0.186,42.54
47,2,-42.23,32.18,0.771,0.845,50.93
47,3,-82.78,6.14,0.921,0.617,1.0
47,4,-46.19,21.85,0.117,0.125,61.93
47,5,-78.97,22.21,0.064,0.582,43.85
48,1,-75.21,32.91,0.31,0.455,56.18
48,2,-57.0,15.21,0.695,0.86,2.29
48,3,-47.11,6.39,0.481,0.105,22.17
48,4,-56.0,29.59,0.56,0.01,60.66
48,5,-72.04,23.12,0.088,0.351,45.81
49,1,-58.79,29.13,0.801,0.2,49.01
49,2,-80.79,8.66,0.636,0.706,1.0
49,3,-51.0,35.48,0.714,0.802,52.06
49,4,-71.33,33.52,0.08,0.895,60.55
49,5,-65.12,27.53,0.526,0.732,39.0
50,1,-85.51,7.11,0.247,0.16,9.11
50,2,-36.33,16.79,0.182,0.79,41.49
50,3,-53.77,22.44,0.555,0.719,33.46
50,4,-79.03,28.81,0.072,0.031,65.53
50,5,-75.83,21.19,0.868,0.727,8.79
51,1,-70.97,17.99,0.988,0.04,24.58
51,2,-42.31,25.25,0.439,0.725,51.3
51,3,-40.46,19.76,0.277,0.592,46.06
51,4,-39.82,12.37,0.623,0.632,18.48
51,5,-50.63,36.82,0.18,0.238,88.18
52,1,-36.57,11.33,0.854,0.492,18.07
52,2,-65.51,23.02,0.359,0.593,36.57
52,3,-81.01,18.69,0.969,0.258,7.45
52,4,-47.46,9.58,0.97,0.454,8.47
52,5,-77.02,7.57,0.17,0.52,11.54
53,1,-66.3,13.7,0.617,0.707,6.59
53,2,-80.81,10.87,0.037,0.736,10.85
53,3,-43.57,33.2,0.585,0.868,61.57
53,4,-78.68,8.92,0.27,0.057,21.16
53,5,-87.84,9.27,0.452,0.934,1.0
54,1,-72.61,22.75,0.042,0.148,56.99
54,2,-64.99,23.05,0.489,0.667,33.3
54,3,-82.32,6.05,0.308,0.705,1.0
54,4,-36.65,8.29,0.673,0.444,13.81
54,5,-42.25,11.2,0.693,0.838,9.99
55,1,-62.66,26.62,0.869,0.571,32.68
55,2,-88.33,37.58,0.69,0.677,45.32
55,3,-68.34,27.79,0.107,0.658,48.34
55,4,-35.03,6.69,0.977,0.407,7.33
55,5,-58.81,30.85,0.879,0.404,47.09
56,1,-72.01,28.37,0.808,0.762,26.54
56,2,-45.02,9.21,0.544,0.006,33.55
56,3,-72.15,17.83,0.396,0.695,17.33
56,4,-76.94,18.06,0.227,0.073,32.55
56,5,-56.81,28.39,0.619,0.463,51.14
57,1,-61.45,21.77,0.026,0.341,52.54
57,2,-69.09,18.96,0.58,0.534,26.78
57,3,-45.29,30.13,0.956,0.018,60.2
57,4,-79.23,5.26,0.647,0.898,1.0
57,5,-86.69,37.71,0.352,0.101,68.8
58,1,-63.28,13.99,0.285,0.307,30.65
58,2,-72.88,26.36,0.716,0.273,42.16
